# <cost>, <accuracy score vector>
1,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
2,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
4,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
8,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
16,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
32,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
64,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
128,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
256,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
512,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
1024,0.996428571429,0.978571428571,1.0,1.0,0.760714285714
