1,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
2,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
4,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
8,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
16,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
32,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
64,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
128,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
256,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
512,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
1024,1.0,0.99,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0
